Date,Close
2020-01-02,152.51
2020-01-03,150.61
2020-01-06,151.0
2020-01-07,149.62
2020-01-08,152.0
2020-01-09,153.9
2020-01-10,153.19
2020-01-13,155.03
2020-01-14,153.94
2020-01-15,154.94
2020-01-16,157.78
2020-01-17,158.66
2020-01-21,158.09
2020-01-22,157.33
2020-01-23,158.3
2020-01-24,156.7
2020-01-27,154.08
2020-01-28,157.1
2020-01-29,159.55
2020-01-30,164.05
2020-01-31,161.63
2020-02-03,165.57
2020-02-04,171.02
2020-02-05,170.81
2020-02-06,174.35
2020-02-07,174.6
2020-02-10,179.17
2020-02-11,175.12
2020-02-12,175.38
2020-02-13,174.43
2020-02-14,175.99
2020-02-18,177.77
2020-02-19,178.3
2020-02-20,175.58
2020-02-21,170.03
2020-02-24,162.7
2020-02-25,160.02
2020-02-26,162.01
2020-02-27,150.6
2020-02-28,154.25
2020-03-02,164.51
2020-03-03,156.63
2020-03-04,162.38
2020-03-05,158.3
2020-03-06,153.83
2020-03-09,143.4
2020-03-10,153.21
2020-03-11,146.27
2020-03-12,132.4
2020-03-13,151.22
2020-03-16,128.93
2020-03-17,139.55
2020-03-18,133.67
2020-03-19,135.87
2020-03-20,130.77
2020-03-23,129.46
2020-03-24,141.23
2020-03-25,139.88
2020-03-26,148.63
2020-03-27,142.53
2020-03-30,152.55
2020-03-31,150.15
2020-04-01,144.82
2020-04-02,147.82
2020-04-03,146.46
2020-04-06,157.35
2020-04-07,155.65
2020-04-08,157.22
2020-04-09,157.23
2020-04-13,157.58
2020-04-14,165.38
2020-04-15,163.64
2020-04-16,168.56
2020-04-17,170.04
2020-04-20,166.67
2020-04-21,159.78
2020-04-22,165.2
2020-04-23,163.2
2020-04-24,166.18
2020-04-27,165.71
2020-04-28,161.67
2020-04-29,168.93
2020-04-30,170.62
2020-05-01,166.2
2020-05-04,170.27
2020-05-05,172.1
2020-05-06,173.79
2020-05-07,174.8
2020-05-08,175.83
2020-05-11,177.79
2020-05-12,173.76
2020-05-13,171.14
2020-05-14,171.88
2020-05-15,174.38
2020-05-18,176.05
2020-05-19,174.83
2020-05-20,177.25
2020-05-21,175.13
2020-05-22,175.2
2020-05-26,173.35
2020-05-27,173.58
2020-05-28,173.19
2020-05-29,174.95
2020-06-01,174.55
2020-06-02,176.54
2020-06-03,176.97
2020-06-04,174.64
2020-06-05,178.72
2020-06-08,179.83
2020-06-09,181.21
2020-06-10,187.93
2020-06-11,177.84
2020-06-12,179.24
2020-06-15,180.39
2020-06-16,184.81
2020-06-17,185.45
2020-06-18,187.43
2020-06-19,186.31
2020-06-22,191.49
2020-06-23,192.77
2020-06-24,188.88
2020-06-25,191.27
2020-06-26,187.44
2020-06-29,189.46
2020-06-30,194.3
2020-07-01,195.43
2020-07-02,196.92
2020-07-06,201.16
2020-07-07,198.82
2020-07-08,203.19
2020-07-09,204.62
2020-07-10,204.0
2020-07-13,197.7
2020-07-14,198.92
2020-07-15,198.62
2020-07-16,194.69
2020-07-17,193.69
2020-07-20,202.02
2020-07-21,199.3
2020-07-22,202.16
2020-07-23,193.37
2020-07-24,192.19
2020-07-27,194.62
2020-07-28,192.87
2020-07-29,194.82
2020-07-30,194.67
2020-07-31,195.73
2020-08-03,206.74
2020-08-04,203.63
2020-08-05,203.3
2020-08-06,206.56
2020-08-07,202.86
2020-08-10,198.82
2020-08-11,194.17
2020-08-12,199.72
2020-08-13,199.25
2020-08-14,199.44
2020-08-17,200.76
2020-08-18,201.92
2020-08-19,200.69
2020-08-20,205.36
2020-08-21,203.87
2020-08-24,204.51
2020-08-25,207.17
2020-08-26,211.65
2020-08-27,216.84
2020-08-28,219.07
2020-08-31,215.84
2020-09-01,217.51
2020-09-02,221.7
2020-09-03,207.96
2020-09-04,205.04
2020-09-08,193.95
2020-09-09,202.21
2020-09-10,196.55
2020-09-11,195.26
2020-09-14,196.58
2020-09-15,199.81
2020-09-16,196.24
2020-09-17,194.19
2020-09-18,191.78
2020-09-21,193.84
2020-09-22,198.51
2020-09-23,191.97
2020-09-24,194.46
2020-09-25,198.89
2020-09-28,200.44
2020-09-29,198.35
2020-09-30,201.29
2020-10-01,203.33
2020-10-02,197.33
2020-10-05,201.34
2020-10-06,197.06
2020-10-07,200.81
2020-10-08,201.53
2020-10-09,206.54
2020-10-12,211.89
2020-10-13,213.28
2020-10-14,211.37
2020-10-15,210.22
2020-10-16,210.22
2020-10-19,205.02
2020-10-20,205.43
2020-10-21,205.57
2020-10-22,205.66
2020-10-23,206.94
2020-10-26,201.05
2020-10-27,204.09
2020-10-28,193.97
2020-10-29,195.92
2020-10-30,193.77
2020-11-02,193.64
2020-11-03,197.56
2020-11-04,207.09
2020-11-05,213.7
2020-11-06,214.11
2020-11-09,209.01
2020-11-10,201.94
2020-11-11,207.25
2020-11-12,206.18
2020-11-13,207.21
2020-11-16,207.9
2020-11-17,205.25
2020-11-18,202.54
2020-11-19,203.83
2020-11-20,201.88
2020-11-23,201.61
2020-11-24,205.21
2020-11-25,205.22
2020-11-27,206.52
2020-11-30,205.41
2020-12-01,207.46
2020-12-02,206.66
2020-12-03,205.57
2020-12-04,205.69
2020-12-07,205.62
2020-12-08,207.27
2020-12-09,203.23
2020-12-10,202.0
2020-12-11,204.63
2020-12-14,205.53
2020-12-15,205.47
2020-12-16,210.41
2020-12-17,210.54
2020-12-18,209.75
2020-12-21,213.58
2020-12-22,214.88
2020-12-23,212.08
2020-12-24,213.74
2020-12-28,224.96
2020-12-29,224.15
2020-12-30,221.68
2020-12-31,222.42
2021-01-04,217.69
2021-01-05,217.9
2021-01-06,212.25
2021-01-07,218.29
2021-01-08,219.62
2021-01-11,217.49
2021-01-12,214.93
2021-01-13,216.34
2021-01-14,213.02
2021-01-15,212.65
2021-01-19,216.44
2021-01-20,224.34
2021-01-21,224.97
2021-01-22,225.95
2021-01-25,229.53
2021-01-26,232.33
2021-01-27,232.9
2021-01-28,238.93
2021-01-29,231.96
2021-02-01,239.65
2021-02-02,239.51
2021-02-03,243.0
2021-02-04,242.01
2021-02-05,242.2
2021-02-08,242.47
2021-02-09,243.77
2021-02-10,242.82
2021-02-11,244.49
2021-02-12,244.99
2021-02-16,243.7
2021-02-17,244.2
2021-02-18,243.79
2021-02-19,240.97
2021-02-22,234.51
2021-02-23,233.27
2021-02-24,234.55
2021-02-25,228.99
2021-02-26,232.38
2021-03-01,236.94
2021-03-02,233.87
2021-03-03,227.56
2021-03-04,226.73
2021-03-05,231.6
2021-03-08,227.39
2021-03-09,233.78
2021-03-10,232.42
2021-03-11,237.13
2021-03-12,235.75
2021-03-15,234.81
2021-03-16,237.71
2021-03-17,237.04
2021-03-18,230.72
2021-03-19,230.35
2021-03-22,235.99
2021-03-23,237.58
2021-03-24,235.46
2021-03-25,232.34
2021-03-26,236.48
2021-03-29,235.24
2021-03-30,231.85
2021-03-31,235.77
2021-04-01,242.35
2021-04-05,249.07
2021-04-06,247.86
2021-04-07,249.9
2021-04-08,253.25
2021-04-09,255.85
2021-04-12,255.91
2021-04-13,258.49
2021-04-14,255.59
2021-04-15,259.5
2021-04-16,260.74
2021-04-19,258.74
2021-04-20,258.26
2021-04-21,260.58
2021-04-22,257.17
2021-04-23,261.15
2021-04-26,261.55
2021-04-27,261.97
2021-04-28,254.56
2021-04-29,252.51
2021-04-30,252.18
2021-05-03,251.86
2021-05-04,247.79
2021-05-05,246.47
2021-05-06,249.73
2021-05-07,252.46
2021-05-10,247.18
2021-05-11,246.23
2021-05-12,239.0
2021-05-13,243.03
2021-05-14,248.15
2021-05-17,245.18
2021-05-18,243.08
2021-05-19,243.12
2021-05-20,246.48
2021-05-21,245.17
2021-05-24,250.78
2021-05-25,251.72
2021-05-26,251.49
2021-05-27,249.31
2021-05-28,249.68
2021-06-01,247.4
2021-06-02,247.3
2021-06-03,245.71
2021-06-04,250.79
2021-06-07,253.81
2021-06-08,252.57
2021-06-09,253.59
2021-06-10,257.24
2021-06-11,257.89
2021-06-14,259.89
