Date,Close
2020-01-01,287.67999267578125
2020-01-02,288.0599975585937
2020-01-03,288.06
2020-01-05,287.44000244140625
2020-01-06,289.3900146484375
2020-01-07,290.760009765625
2020-01-08,293.1300048828125
2020-01-09,293.0899963378906
2020-01-10,293.09
2020-01-12,292.6300048828125
2020-01-13,293.739990234375
2020-01-14,293.989990234375
2020-01-15,295.260009765625
2020-01-16,297.9100036621094
2020-01-17,297.91
2020-01-19,298.2900085449219
2020-01-20,298.2699890136719
2020-01-21,298.79998779296875
2020-01-22,298.1700134277344
2020-01-23,299.1099853515625
2020-01-24,299.11
2020-01-26,293.2099914550781
2020-01-27,296.1499938964844
2020-01-28,297.19000244140625
2020-01-29,293.75
2020-01-30,290.95001220703125
2020-01-31,290.95
2020-02-02,292.54998779296875
2020-02-03,297.8999938964844
2020-02-04,300.45001220703125
2020-02-05,303.07000732421875
2020-02-06,303.4200134277344
2020-02-07,303.42
2020-02-09,304.70001220703125
2020-02-10,306.8099975585937
2020-02-11,308.54998779296875
2020-02-12,310.29998779296875
2020-02-13,310.4100036621094
2020-02-14,310.41
2020-02-16,311.5599975585937
2020-02-17,309.5400085449219
2020-02-18,312.9599914550781
2020-02-19,309.2799987792969
2020-02-20,307.0799865722656
2020-02-21,307.08
2020-02-23,297.5599975585937
2020-02-24,292.1199951171875
2020-02-25,289.75
2020-02-26,277.17999267578125
2020-02-27,264.5
2020-02-28,264.5
2020-03-01,269.5599975585937
2020-03-02,271.9800109863281
2020-03-03,274.239990234375
2020-03-04,273.3299865722656
2020-03-05,260.20001220703125
2020-03-06,260.2
2020-03-08,242.9600067138672
2020-03-09,243.0099945068359
2020-03-10,245.3500061035156
2020-03-11,225.63999938964844
2020-03-12,228.6100006103516
2020-03-13,228.61
2020-03-15,225.6999969482422
2020-03-16,227.44000244140625
2020-03-17,218.33999633789065
2020-03-18,223.3500061035156
2020-03-19,221.4499969482422
2020-03-20,221.45
2020-03-22,207.22999572753903
2020-03-23,224.9499969482422
2020-03-24,230.83999633789065
2020-03-25,235.1000061035156
2020-03-26,229.8699951171875
2020-03-27,229.87
2020-03-29,235.5099945068359
2020-03-30,239.6199951171875
2020-03-31,228.7899932861328
2020-04-01,230.8300018310547
2020-04-02,230.6000061035156
